Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula perdeu todas as eleições feitas com cédulas de papel e venceu todas após as urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-lula-so-venceu-eleicoes-apos-urnas-eletronicas/,falso,2025-12-09 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRe5e01nS8_OJfem_RbqwCjJv7y3lPetCtiTa6iWoWPz3OyEiZ8,"['Luiz Inácio Lula da Silva', 'Eleição', 'Urna eleitoral', 'Cédula eleitoral', 'Papel', 'Urna eletrônica']"
"Lula diz, em áudio, que só venceu a eleição porque o povo nordestino é analfabeto",Aos Fatos,https://www.aosfatos.org/noticias/lula-nao-disse-que-foi-eleito-porque-o-povo-nordestino-e-analfabeto/,falso,2026-04-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbSEnHa0JE0ev_23BMY7ekwDbiREOuT5MWJ0zBzwmLgJ6vhSba,"['Luiz Inácio Lula da Silva', 'Eleição', 'Povo']"
"Líder do governo no Senado, Jaques Wagner propõe adiar eleições de 2026",Estadão,https://www.estadao.com.br/estadao-verifica/jaques-wagner-propoe-adiar-eleicao-2026-enganoso/,Enganoso,2025-10-06 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7tDg5QayKBlL8FulZuvN5xlEB0AxVDrmYPbevp-hwvt4y9riu,"['Jaques Wagner', 'Eleição', 'Governo', 'Senado Federal do Brasil', 'Chefe de governo', '2026']"
Senador Jaques Wagner propõe adiar a eleição de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.78EF2CR,Falso,2025-10-10 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTqyPLLNztVlt6SfYvVIyOq_Eg3ll2ujGOwT7pKi1SMJX88-idK,"['Jaques Wagner', 'Eleição', '2026', 'Senado Federal do Brasil']"
"O Brasil foi classificado pela OEA, como um país governado por um ditador ! Não fará parte da comissão de Direto",AFP Checamos,https://checamos.afp.com/doc.afp.com.97AR69E,Enganoso,2026-02-12 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxnYLO4EE3SJLmj8MQxgohcF0uNExBd5oWwi8hSXs4sfOvGStg,"['Organização dos Estados Americanos', 'Brasil', 'comissão', 'País']"
